kh-qx4ncshwrucb5_7amka	Chuck Norris is the only known mammal in history to have an opposable thumb. On his penis.
YTcuCiUhSR2xaPsFoGKnSg	Chuck Norris was a stowaway on board Apollo 13. When the astronauts encountered problems, Chuck took over the craft, and successfully navigated it back to earth to splash down in the Pacific. He told the pussies to keep it a secret or he would track them down and kill them. He then swam away before the recovery ship arrived.
2dE1FsdKR1yPO4m1PSbx3Q	Slash, of Guns & Roses fame, got his name when the toenails from a barefoot Chuck Norris roundhouse kick slashed the top of Slash's skull & hair off. That's why Slash now covers his deformity with a tophat.
fqmCw9YhQO6ln9g2IYs2UQ	Chuck Norris got mad at some vegetables, the end results were Black-eyed peas.
KqkLLp8dQvmDkOP9ZMnFOw	Choose life. Before Chuck Norris kills you.
sxW58vYrQnSxDg2RvYXpng	If released, the four-hour Chuck Norris/Kim Kardashian sex-tape will literally break the internet.
_-nIhvuqQd6DyzpVVRAPnA	When Chuck Norris rips you a new one, it is actually anatomically superior to your old one. You must thank Lord Norris.
StRzEBiyTj6NfmYthi6bQg	Chuck Norris can flip a coin and make it land on both sides at the same time.
V828XTXbRw2VHT8vY1RogQ	Files don't become declassified, Chuck Norris just decides when the people need to know.
PsIH2-1RRMad8sqQSW8zuQ	If Chuck Norris had starred in "Jaws" it would have been called "Dentures"
KfY9rgE_TeeicgN0ImksvQ	If you look closely, you can see Chuck Norris in the background of every scene in 'Avatar'.
_eBhT44NSq28ErFpLyB1vQ	Chuck Norris went to Ihop for pizza
VOO5K2rwSX2UL-ysQee42g	Chuck Norris killed his shadow while shadow boxing. That's why you never see his shadow when he comes up behind you.
f7aGbCj9QcWQCdvDxJYkjg	Chuck Norris can tap dance though a mine field...wearing clown shoes
TSKPCFDcTe-bJxrcrVNHkQ	Jesus wears a bracelet that says wwcnd (what would Chuck Norris do?)
kv95RRh0SCie8_8q4B7hRA	The sun doesn't shine on Chuck Norris. If it did well you know when a solar eclipse is coming.
gLL80CDpT0ebkYaBVIbWPw	When god create Chuck Norris, god not exist anymore
9pcEcbGeQeiMdiF7ibma7A	It's just a matter of time until an asteroid strikes earth. They are just scared to hit earth until Chuck Norris has died
-Whh7TwGT52ZiDBR6mR5EQ	If you'd like to thank Chuck Norris for being so awesome, his email address is "gmail@chucknorris.com."
2okswpdgsxygovph4hlwng	Chuck Norris' favorite cereal is Kellogg's Nails 'N' Gravel.
RklWX9FRRK278XbNYG3QjA	Chuck Norris always signs his cheques with a bigass peacock feather.
4eVFRr4yRRmWTQHrbygl0Q	Had Chuck Norris been present at the Battle of the Alamo, the southern border of Texas would be extended a few thousand miles to Guatemala.
K11jTOKEScytEsVEk05npw	When bored, Chuck Norris will play Hopscotch on your face.
FnWEVtdzTm2XDCQV9ibjgA	Chuck Norris fucks will weston anally - rape is Chuck's favourite game.
PYTfJzaJRr6zu5Ls3nw28A	The instant Chuck Norris came out of his mother, his first words were, "Which one of you motherfuckers is Julius Caesar?" The senators took the rap for him.
eV3hPZzCREmxKy0Jj3790Q	Chuck Norris had what Meg Ryan was having.
lSygvqaIRfK6ZbrQz4FosA	Chuck Norris uses his pet guinea pig, Whiskers, to hunt mountain lions.
SpQ-Zga7T16TS8qYNM1hHA	Chuck Norris bed sheets are made of sheet metal.
7j_zRE-YRry-0X1FfVtBqg	Chuck Norris was asked if he would date Rosie O'Donnell? Chuck said "I'd rather shove a lit match up my pee-hole".
Ilwl5MP9Sq6uLLTf3bTiXQ	When Chuck Norris says "pull my finger", plan on being cloaked in and smothered to death in brown vapor.
XiA5cJY7SKusqlekgePA_w	Chuck Norris' newest pet is a rocket pig. Chuck says the coolest thing about it is, if you ever get tired of flying your rocket pig, you can just turn it into bacon. Win, win!!
-Z6-RVneT4KEAaFBCCsxDg	Chuck Norris has never used a #2 pencil.  Only #1 is acceptable to him.
RxXqiBlkQJK7-fPLvlxllg	Chuck Norris dosnt need a keyboard he tells the computer to write something and it does
BVw2uxYESteG401kaTydSw	Chuck Norris uses crab legs for toilet paper.
TS5MAdPNTk2oXdUvbuJSgA	Chuck Norris reaches 11 on the Richter Scale, if you confront him and say it only goes to 10 you will recieve a roundhouse kick..which will reach 12.
Q8QVLe2HQGOkYZmmK11RjQ	Chuck Norris came, he saw, he conquered--in reverse order.
95_OCK5MSO--a2ZManFxjw	Chuck Norris doesn't 'give you a wedgie'; he slices you in half with your own underwear.
JHaIKfGoTVOX-WzMbHejyw	Chuck Norris dosen't obey WeeGee.WeeGee obeys Chuck Norris
MeFf6tojRhuE80IZmQzhkQ	Before Chuck Norris was born, the martial arts weapons with two wooden rods attached to a chain were originally called Nunwaldos. Nobody knows what happened to Waldo but they are still looking for him.
kosik1_3TcCgrGOuloSHRw	Chuck Norris doesn't fan the flames of jealousy - he farts on it.
mbf1k3sUSs2zvsy-kpmYvQ	You have no idea just how many hemorrhoids one person could possibly have until Chuck Norris takes his foot out of your ass.
kvklL2J-QqGapbur-5QW3g	Chuck Norris doesn't take life for granted - he just takes lives.
qmk8s27MT8yw42NOn-PD2A	Chuck Norris's Total Gym Contract: $10 million 5% of total sales 30 days of banging Christie Brinkley  Christie Brinkley's Total Gym Contract: 30 days of getting banged by Chuck Norris
sEmucRFzS4y67cRbA4gstw	Chuck Norris once walked down the street with an erection.......there were no survivors.
lFvCMIqUSAmHJ7iAF6EE2w	If all the army's in world were to wage war on Chuck Norris he would just cough and they would be dead
XRJre4oESZuWvqM2408vdw	Everytime you jack off, Chuck Norris roundhouse kicks a mexican baby.
htgg43w6sxs9_-5nn3s5ha	The square root of Chuck Norris is pain. Do not try to square Chuck Norris, the result is death.
RetTxqV0QY2CArScpL4PEw	Trick me once, shame on you, trick Chuck Norris.....rest in peace.
zNmfEsTOS0-oIFBSpL23fw	The sun is afraid to look chuck Norris directly in the eyes
dDFP97kVTX660_Y-3XDyvQ	Chuck Norris drinks unholy water.
nXeSnk5KQP2SZz3c2RXgbA	Chuck Norris laughs at the "four-hour erection" warning that Viagra has to include in its ads: "Hell, mine stays up for six hours at least without any pills!"
MmBqKlbxTWKXSSkgp4umGw	Chuck Norris once went fishing, but then ended up fighting a shark and roundhouse kicking it into the Pacific Ocean.
U8LGladiTEmv-c8YRbBk-Q	Every Tuesday morning Chuck Norris goes crawling the whole of the Internet with his friends Googlebot and Slurpy.
d31M-R8TTr2siqp1qPeT7w	when alexander gram bell inveted the first phone he already had 2 missed calls from Chuck Norris
LT_83c6HQR-7SgiKJIM8pw	Pain and death is what Chuck Norris makes it.
NUGhv06RSda5kyVGdQ-39w	when Chuck Norris went to burger king he asked for a big mac, one minute later they gave him one
Y4bxtio9TuK5XsmnpJRUQA	Chuck Norris once received a blowjob from a slim lingerie model. That model is now known as Susan Boyle.
2Nrk4XdgR9udSqGqsZTLLQ	lmao to the ones underneath,, Once Gary Neville and Chuck Norris had a arm wrestle no one knows who won as everyone there had an fatal fit on the thought on Gary Neville and Chuck Norris in the same room!
TcxFuPEJTvKVTMVpjPbGBw	How long is a piece of strChuck Norris.
BuNe7usbS7O-PLSypn93Fw	Chuck norris killed 37 terrorist with 2 bullets,the first was a warning shot!
RWG15vsHSt6O9ww9KV6Zsg	Aliens are real. They are just in hiding because they know that Chuck Norris is waiting!
nW5yd-ZASCSlTsL6lXX3SA	Chuck Norris despises the color yellow, and can stand it for only about 12 hours at a time. Which is why the sun hides daily.
KdtDgSTNRmiS1V6JV22qcA	Chuck Norris can burn a fire.
uHmjlYZQQF2UerG7psNUgQ	Bowser was once like any other Koopa- until Chuck Norris breathed on him.
TFJiicZ8ROSMYoTuculuFw	Chuck Norris dosent tea bag the ladies he potato sacks em
zZKbqetUR0ey8Xx55kL4PA	All e-mail from Chuck Norris is preceded by this warning: Open at your own risk. Enough said.
XFK2D5CfQ_OtDm806__h0w	Chuck Norris can lift himself three feet in the air while urinating.
dINSkBgVSAeUQpngVt-aPg	Like President Obama Chuck Norris also recieved the Nobel peace prize for doing nothing, but in Chucks case millions of lives were saved..
26pCvbZaS2OPkPUyjlNBlw	Chuck Norris often bathes in municipal cesspools. Afterwards, Aquafina, Dasani & Evian are quick to capitalize on this opportunity to purchase low cost purified water.
r3x3id9uTK67t4QStXGaZQ	when Chuck Norris bowls he does it over hand.
2QV81jmsSp2sxmY_L9oppQ	Nike says, 'Just Do It'. Chuck Norris says, 'shut the fuck up, boy'.
WkGwikDYQ4mfQiSuU11iog	Steven Seagal has a full sized tattoo of Chuck Norris ass on his face.
HLQaEEqUQiOCUB6581N-iA	Chuck Norris doesn't kick people to the sun,he kicks the sun to people
DHEa7NhgSTyFevrGV0xHBA	Chuck Norris taught Michael Jackson how to moonwalk.
jZYfxwu2Q-e8zW6QlrhlSA	Chuck Norris' pet hamster just gave birth to twin tarantulas.
40mabPTdTiiyniVXdgbRGw	hittler killed him self because he found out Chuck Norris is jewish
6xHiotWrRcuSMxVTw_sLBA	If Chuck Norris got a teardrop tattoo every time he killed someone, his face would've been completely black by the time he was 11.
bFnEmohIQimOR3ZVK3RNaQ	AMFG@!@!@!! JESUSSS I GOT MU ASSS KICKED BY YO MOMA AHWDEAQHw3btr0gn94bgirubguibrgiubeuibgr GO CHUCK YEAAAAAA :)  one day Chuck Norris was walking along the street and he wanted some marmite and it tasted real good! then he tried it on some toast  and had a real big fright
eDSGFh3UR92As2IB2jOztA	When God said: "LET THERE BE LIGHT!" Chuck Norris said: "Say please."
1-T911MgSheqBYMwJCKPKw	Chuck Norris once abducted aliens.
nR8uediuSXS_hEovUcuwGw	Chuck Norris enjoys big game deep sea fishing. He generally uses a live moose for bait.
qVMK4RvYRCeyuLyd6S-CQA	Child: Dad?  Father: Yes son?  Child: How come there's no jokes about Chuck Norris?  Father: Because Chuck Norris is no joke.
e690xhz_te2hnf7nk7ppfq	Chuck Norris eats steak for every single meal. Most times he forgets to kill the cow.
Er2kYwvAS5GpKdTIV14mnQ	Somebody was lighting up a Marley just as Chuck Norris cut a fart aboard the Hindenburg.
rHczvCBwTQCVagEkvndoeA	Chuck norris can eat fire and air.
fpMZF_HQTwqbXNpYSsxfxA	Chuck Norris' blood type is diesel
osD7iVH6RDuflVep7Zi2GA	Chuck Norris' balls make a pumpkin look like a bronze bb.
rllvsGLvSkWPSdDSUQ548g	Chuck Norris' prostate doctor only has 9 fingers.
Zha6APiTSKWDYfGxLGZ9Ew	One time Chuck Norris rode a shark...  on land  while on fire  while making love to three swimsuit models
ABiECCHlRIivlpffrYwNWQ	When Bruce Lee did the fighting scene with Chuck Norris, he had to take 500 million gallons of tranquilizer injected in his body just so Bruce Lee could even land a punch on him. He had to use all the tranquilizer in the world to feel those punches. Seriously!
rzgrU_s1RDSAWr-K2tkAhg	Chuck Norris can literally break his foot off in your ass.
xVgtaYSSQUOChJQGFBb3pQ	Chuck Norris can touch a bottomless pit
6Q-GPUlpS1Svu7RuPyGvcQ	3 asians once ate 150 hotdogs in 1 minute. Not to be out done, Chuck Norris ate 3 asians in less than 20 seconds
9h_jxdqnry6ou7iy6rm75g	There is in fact an 'I' in Norris, but there is no 'team'. Not even close.
D6ru7Td0RWa8zLNRM_T_EA	If you can see Chuck Norris, he can see you. If you can't see Chuck Norris you may be only seconds away from death.
1jP2VyNFQPemJB71GePV_g	Peter Piper picked a peck of pickled peppers. Chuck Norris shot him and screwed his mother against a wall for three hours.
XTBRqb03QFCyC5KC5SI4EQ	Chuck Norris is who got Anarchy pregnant, thus giving birth to The Sons of Anarchy.
XdU-SJM7SteZh7BQQHYMKQ	Chuck Norris likes to walk around his Beverly Hills mansion wearing nothing but a pimp hat and fat gold chains.
EijYWni9QyiZo5nYc0IE4w	When Bruce Banner gets mad,he turns into the Hulk.When Chuck Norris gets mad,the Hulk turns and runs.
0qsJjzyWS7u1zaiXUeYj9A	When Chuck Norris attended a Boy George concert, Boy George soon found himself in the nose bleed section - literally.
XzZzm1izQ9WMm-MtXTyJlA	Anthony Weiner resigned from congress and immediately committed suicide after learning that he had also accidently sent a twit to Chuck Norris.
Tq1kAkn_SemFMlvrNNGlqw	One of Chuck Norris' bumper stickers reads 'This is just a distraction - I'm now sitting behind you'.
WE_nD1BwRbem9o5usieiGw	Chuck Norris can slice fries with his beard. He then stares at them until they are Golden Brown.
PpUXuf5aReWEUG_l9d-H3g	Chuck Norris knows where Waldo is hiding.
klsQdtvISrmCKTQIRig9gQ	Chuck Norris can sing bohemian rhapsody with his farts.
H2CRG43qSN-uCo-OLbLK2w	people hits pinnate with a stick, Chuck Norris hits pinnate with a flamingo
jXS8_BYXTO68DUvBJ_tHng	The Military has nothing on Chuck Norris. Chuck Norris is the real ARMY OF ONE!!!
nENYqYW6Qx-imb9ev4iSYQ	Chuck Norris tweaked his Harley, to give it 4-wheel-drive.
P4V35xM8Tteiy8vvBMp3IQ	Chuck Norris doesn't suffer from premature ejaculation.   He enjoys the fact she gets nothing out of it.
Vv1iSdntSOmh4QXgDTXHPw	Even Black Holes cannot escape the force of Chuck Norris
bmwh6W0KT3mlTpF-4bpQxg	Chuck Norris can run Windows Vista without it crashing...on a 286!
9hf65PnlT_qk8eQ3R507jQ	It isn't uncommon for grown men to wet themselves in Chuck Norris' terrifying, musk-scented presence.
AaymNVxCSmmuk54Rn6RyCQ	Chuck Norris doesn't sleep on beds beds sleeps on Chuck Norris
RGmoxz0QSUGGXaCRRga_YA	Speed doesn't kill. Chuck Norris' foot does.
9--bgL3-TO2ZfJRVE69bag	The Most Interesting Man in the world recently met Chuck Norris. He said "meeting Mr. Norris was facinating".
BrauHvj4Sq-fE7vsgGH3EQ	You cant fool Chuck Norris he'll kill u
YksznfIdR-apg5OeqzB-Fg	Chuck Norris is so fast, he can lock a drawer with the key still inside it.
T3Y6XJYtRCSisLcyVOhjFQ	War of The Worlds was actually a documentary- all the aliens died out after Chuck Norris dealt with them.
GPgc1oLIRqCSeMxeqrDHJQ	Chuck Norris made Kristen Stewart emotional.
VMp6xx8cTZ6nzTAGiNxACg	Chuck Norris was born on March 10, 1940. I am yet to find evidence of famous deaths that occurred the next day. How strange.
xW2OyjYnSpaEtdoyVAobAQ	God and satan go to the Chuck Norris church every sunday.
IXuU2fxWQmGuG1yYDaZ8vg	Never tell a secret to Chuck Norris. Chuck will never tell but he'll kill you to be sure the secret stays with him.
xmYv8wFzTBaIuVl2ISd2IQ	Chuck Norris has slept with over 4,000 women. And of course by 'slept', he means Norrised.
tBMjjmhCTKqvu53FiuyZhQ	Most men's sperm look like tadpoles. Chuck Norris's sperm look like motherfucking mudskippers.
n2crsj2CQiesS5mhWfCuPg	Chuck Norris once wrote & published a book titled 'Under the Bleachers" under his pen name of Seymore Butts.
GzSEIl7GSSiIdc7dyLDiMQ	when Chuck Norris goes shopping he doesnt go shopping for clothes, he goes shopping for @ss h*les
8zntH7YwRKu5Js1vcp3lMg	Jack Links Beef Jerky wanted to film a series of "Messin' with Chuck Norris" commercials. They later had to settle for Sasquatch because they couldn't find any actors dumb enough to mess with Chuck Norris.
CxSRLvKPSeu49mTbWf0XHg	Chuck Norris roundhouse kicked a man so hard, he turned into a gorilla!
4HWF0McBS8aO0PdVdQ7ycQ	Chuck Norris can fix stupid with duct tape but he prefers to fix it with a roundhouse kick to stupid's face.
p20FWreLQ1Gc4Hv3YtZfMA	Chuck Norris owns the world's only working proton pack. He has used it once, to kill some noisy neighbours, then catch their souls.
pjepanwfqgowpgc3uf_7hg	Chuck Norris doesn't look both ways before he crosses the street... he just roundhouses any cars that get too close.
Qzv6b-uOQi6O59Wrj2IXkg	Chuck Norris doesn't even need to stop for it to be Hammer Time.
oWnhc3ARRy6IZiRUD5n3Ww	Instead of the holy trinity, it should be The Holy Quadrinity: the father, the son, the holy ghost, and A Chuck Norris Testicle Hair.
PRFuGfmNT52K6BBjnb28PA	If you play Pink Floyd's 'Dark Side Of The Moon' while watching Delta Force 2, Chuck Norris' boot heel will sync up with your face.
qig97ZCjT2WgM_yFq6kL5Q	Chuck Norris can write a haiku with one syllable.
1pakJ3eoSbexXovSCAwuHg	corey sucks.....Chuck Norris approves this message
_rUTk-yuQAObPIpEyccD2w	The Man works for Chuck Norris
wPc8DUgGSZKACzw5X-iFfw	Chuck Norris has submitted internet forms without posting all required information because he is a machine - not a mere man.
Ea0u9Ns9TS-l8Q5WplC_aA	Chuck Norris got into a fight with himself... and won
yo2HPp8GSAOoWLFr1v6mbA	Chuck Norris once lovingly rubbed his beard across the face of a dying little girl in an attempt to reviver her. He succeeded in reviving her but his beard erased her entire face.
CTQFI6JcTJuixZ6_zxclnw	Chuck Norris can shoot you down by the Ctrl-Alt-Del menu.
oJMlWa4MSLmRHK4_SIqp_Q	Chuck Norris once woke up one morning thinking he was in the process of strangling a 1,200 pound walrus but then very quickly realized that he was actually masterbating.
LLKDQrJGThuqSIqKtckx8g	The Black Eyed Peas inspiration for "Boom Boom Pow" is about Chuck Norris famous lethal combination. 2 straight jabs creating the "Boom" sound and finishes you off with the roundhouse kick to the head creating the "Pow" sound.
BZqX2kKHShShWAb1dW5qEA	Chuck Norris takes no prisoners. He kills them before they have a chance to surrender.
Q6OUygDJQ7KKeOaNSQyaJg	Chuck Norris won on last weeks Iron Chef America T.V. show by microwaving two ham & cheese Hotpockets.
xrRPjL5rQbeq_Ns7vYgq7A	The saddest moment for a child is not when he learns Santa Claus isn't real, it's when he learns Chuck Norris is.
LhA20VBXSnq8V8vWskE2FQ	Chuck Norris can kill over 9000 ailens, birds, noobs, people with only oen rock
2ySrSZr6SfmUWVJp_N4R6Q	Facebook, not only a social networking site but also the shape your face takes when roundhouse kicked by Chuck Norris.
68eCkLCgQPmQt2HS-nI0QA	Chuck Norris was once challenged to a game of chess by a chess master! A couple of hours into the game, the chess master moved his queen to b7, putting Chuck Norris into check mate! However, Chuck Norris moved his fist into the chess master's face and moved his foot into the chess master's ass, thereby winning the game of chess forever!
uhcflvv3qfatx2ku9npdrg	Each hair in Chuck Norris's beard contributes to make the world's largest DDOS.
d1zkxVsISTegGBqmO8nxug	For Charlie Sheen winning is just wishful thinking. For Chuck Norris it's a way of life.
6BNAHCYBQxGEQih2OPtK-w	Jehovah is the Hebrew word for Chuck Norris
Cq4Dwab6RiSZEZTFH-greQ	Chuck Norris once broke the sound barrier in a rowboat.
TVnSVh4SRlaYXAl4xk9UYg	In 1957 while in Elementary school Chuck Norris drew a sketch of a square apparatus with astonishing details. 50 years later, Apple used that same sketch to design and develop what we know now as... the ipad.
0bqhFyJYQeyqivdpRrgq8w	Chuck Norris killed Santa Clause, for trespassing.
d4TOM2GvRV6SCwYnOu55RQ	Chuck Norris once went fishing and roundhoused the Kraken in the face when he came back he feed his family for ten years.
fyl_wMCUQsmlv623LR7RSQ	Chuck Norris can inflate a truck tire by blowing into the stem.
YnBpV4HdQBa16sgq9jq7xQ	In order to reduce the deficit, the Republican Congress fired the Grim Reaper and hired Chuck Norris because he can kill poor people, elderly retirees, indigent children, uninsured, homeless, unemployed & ugly people quicker.
XXOEke6STfi_ZqgJZZsojw	Fanboys such as Genwunners are made when Chuck Norris is hungry for the exact part of the brain that accepts opinions.
elTTCktjSbCvBHh51otXvg	The idea for steel toe boots came from Chuck Norris' bare feet
WAG4K7JaSs-CdMmWY148HQ	Chuck Norris idolizes Tyson Guess
4ASbYkDqTwKA-JvS0ZCHGQ	Chuck Norris is a bulldozer with a beard.
eQ3KB1NjQbardvupvhmYTw	Vampires walk at night not because of the sun, but becuase Chuck Norris walks in the day.
IkYiCgWqTqaBILZvY7oVGg	When you ask Chuck Norris a question, you'd better be ready to have an answer shoved all the way up your dick hole
tfRGSx_ZSNajTMQ8Xa0AaA	Madonna was a quiet unassuming virgin before her date with Chuck Norris.
v04aFGwkRvyDfL65MsYSaQ	When Chuck Norris kills you, the government fully covers all funeral expenses, as ordered by the  UN. It is the only truly good thing they have ever done.
4FVyU4jKTBmvGIAKTNepUA	Chuck Norris doesn't have a penis, he had a 6 foot pipe.
ptR6EZwGTxmRaSEcSKVsYQ	the only thing what can beat Chuck Norris is his MOM
AhnXXp13SGegkvPqlSZmKA	Chuck Norris's beard is the eigth wonder of the world.
AQoSBgtlSwCxylHrvdm1pA	Chuck Norris likes to eat G-strings.
N_0pKeUmRM6qYi7niZ5Jnw	Depending on the circumstances, Chuck Norris will decide whether or not his farts will stink. If he chooses to have them stink, he will then also choose the percentage level of rankness appropriate for the attending audience.
NQ68GCB8TdOADmMKH-7hgA	Taxi drivers pay Chuck Norris when he gets in their cabs.
rMbDHZMPTsSguWRu-3wxfg	If anyone says any thing about will weston I will personaly pin them down whilst Chuck Norris an will put their balls in your mouth cos I am the hardest guy in the world!!!!  Gary Neville does not sleep.................. he waits.   And kills.
S_M3e69GTCe3nblmyKb1dA	Chuck Norris once did stand-up comedy in Las Vegas. The entire audience laughed themselves to death.
uIdfHDkoSyCerHte9kgcqA	Chuck Norris can blow up a balloon with both of his lips tied behind his back.
nzcohv1-QE2-FKcVw-1q0Q	Chuck Norris single-handily won a game of football by completing a 97 yard touchdown pass to himself. It was the only offensive play of the game.
g8AesKk0TUqe7um1yMgh4A	Aliens won't invade until Chuck Norris dies.
dpJm7WuhTieUrnCYdEpDRA	Its called the Chuck Norris roundhouse kick because it's delivered by Chuck Norris and when it strikes you, your head spins around and then you fly into a house.
-3CjPqg6SaKvAZBLgTp_6w	If you play Stairway to heaven backwards you hear a satanic message. If you play the theme song to Walker,Texas Ranger backwards you hear Chuck Norris kicking the Devils ass.
Knd-a62tTEuRkjTbU6F5JA	The only way to get mercy from Chuck Norris is to say his name three times in Chuckenese. Mispronouncing will only make your fate worse.
mlFL9tOST3eE-kQG41FQxQ	Chuck Norris can escape a Black Hole
8eBH4hTSRrCAV9LfLGhQsA	Aliens do exist. They're just waiting for Chuck Norris to die before they attack.
8CF3lcexR3ecvJuKy1LBCQ	Some people balance eggs on end every Spring and Fall Equinox, but Chuck Norris balances skulls.
jomxhrZtTQaJT6QhvJu5FQ	It was called Goodminton until Chuck Norris started playing.
Dt_kAHh-QpSDr0Vk5MVMHA	If you are filled with terror that Chuck Norris is still out there, somewhere, that only proves that you are still sane.
gQgNYb2xTBWmHGdjTNQ8gg	Chuck Norris doesn't use keys, he always kicks the door in.
mp6CTqimTNWQECmJoRG46g	When a cop pulls Chuck Norris over for speeding, THE COP has to explain himself to Chuck Norris.
eRflnh_6QNmUry_bXs8NeQ	Parties at the home of Chuck Norris make the ones at the Playboy Mansion seem like senior citizen afternoon teas by comparison.
U2F3hkAWQ_SzsHlzNEQeWQ	Chuck Norris silenced noise.
-0Au3lLrQPaHxNXIMTyT0Q	Chuck Norris invented smell-o-vision. But he only uses it to watch that scene in Basic Instinct.
r43suA29S7aG10UOYngO7Q	Chuck Norris once roundhouse kicked a mattress for refusing to share with him.
IqM0mVMERfKwguFY57GICw	Chuck Norris remembers 9-11. He bows to the real American heroes on this day. And to America. And most importantly the families of all the fallen on that day 10 years ago. And to all the US servicemen & women who fell and to those who have served and those that continue to serve. And so do I!!!
edHHVdlpQLSZ-JcuhmYOwg	Like this fact if Chuck Norris should kill Obama Dislike this fact if Chuck Norris should roundhouse kick you.
dFY9GPyiR4muQQGrc6mjsg	Chuck Norris can run so fast, he can actually shoot an apple off of his own head
Jq4rPgtaQP2P6vVM8LWvuA	No matter where Chuck Norris is, he always gets free wifi and a full bar cell-phone reception
YSPbHS4aQXC0ibMn_H_-uQ	Strange but true: auto tune cannot improve Chuck Norris' voice or farts - he is utterly pitch perfect, or, to be more accurate, pitch perfect is Chuck Norris.
POnD0oTpRKyElydHQiUUeA	There's no coincidence that an anagram for Chuck Norris is "crush rock in"
d18DGVnwSlSPBzqEXNiIlw	A Chuck Norris chess game is impossible to make because Chuck Norris doesn't have to move from his spot to Checkmate.
LnoX1RxGS-2OnTZWAsXJRA	Chuck Norris can fly on an airplane to Maine from Hawaii in 30 seconds. he just has to tell the pilot to move over...
Dt2OwL_jTQyalijcyIuwBg	Chuck Norris once used the Grim Reaper as a Sherper up Everest but Roundhouse kicked him in the Death Zone and summitted ALONE
lMoVnArsTw2eVkf2_ejv0w	Chuck Norris REALLY went back to the future.
0mZ2zdFFQ5Kdsw75kTDXXQ	Chuck Norris completed the Tough Guy Challenge by doing nothing.
-N1i0PPRT7eUMsM3Ls4Gqg	Chuck Norris visited his local Taco Bell and ordered a platter of Alaskan King Crablegs. The Taco Bell manager was pronounced DOA at a local hospital after he was only able to provide Chuck with a single chicken fried snail a la carte.
19QZ1cdySJKrqi-EN-elVA	The munchies get Chuck Norris.
Xx8mGH23Sn2T029e3jIh9Q	Chuck Norris once shot a gun.....and it died.
iYVebOfhQ9OA-f_Dy2mizw	Chuck Norris doesn't pay attention - attention pays him.
hwv5daessqqk0n_sczyima	No statement can catch the ChuckNorrisException.
tMmKdIM4TPy3_X_EHn3X5Q	The Zohan doesn't mess with Chuck Norris.
Vmj6XGQJQpW9MgS-CnCYjA	Adonis was a total Chuck Norris.
WshCLRPeSz2uyZ6M0UDOvw	Chuck Norris once Round-House kicked a man so fast, his foot went at the speed of light, i't traveled back in time and killed the dinosaurs. Meteor? No, Chuck Norris.
zQp7bBceRfuDUv0K5lUgJA	Chuck Norris takes his temperature with a measuring spoon.
8uqZm9dvShSoZ9XjQuV9jQ	If you look up Chuck Norris in the dictionary, you will get Round house Kicked in the face, or the balls, depending on how you are holding the dictionary.
Pl6TbDPXQ0iBCZJ9AjxZJQ	Chuck Norris is such a beast that when he punches you in the face you fight the urge not to thank him
OQOYtJy6TQSObOV1t_MGtw	When Chuck Norris needs to travel by plane, he makes BA Baracus fly him.
R2paSuJgTC6FL7y9IH9U5A	A robber pulled a gun on Chuck Norris. Chuck asked him if be wanted that gun rammed down his his throat or shoved up his ass? The robber peed his pants and ran.
2SJP5e9XSiS_EDq_8RVhJg	Chuck Norris will soon open his own fried chicken restaurant chain: RKC-- Roundhouse Kickin' Chicken.
I5891e36QLKukqy5aiE1cw	Chuck Norris drinks a special protein shake made entirely from blended chimpanzee brains.
qjTlPT1aQIez8UB2CyeTPQ	Chuck Norris beet the sun at a staring contest
YhKlMIawTdW_zJTEf5uX-w	after Chuck Norris eats a large meal, he literaly burns of the caleries
nfuwYYXLR_qQXu8uUthvww	Panhandlers give Chuck Norris money.
E6PTTeleTgC_NtSmt9RLbg	Nuclear warheads are still hiding underground; even the Hydrogen bomb is afraid of chuck Norris.
DvtA7CyTR7mdpsp1twDa5w	When Chuck Norris leads a horse to water, it drinks.
iPcW8DG2TJiY7QJNalZW_A	Chuck Norris got his second speeding ticket for doing 137 MPH in his Corvette. When he was 9.
c6B9EUFnSC6igevEwyFEsw	When Chuck Norris goes fishing, he doesn't use a fishing rod. He simply points to fish and says "you, you, you, you, you, in the bucket!"
11m4u2vyriuhrpbag0w7sa	Chuck Norris eats beef jerky and craps gunpowder. Then, he uses that gunpowder to make a bullet, which he uses to kill a cow and make more beef jerky. Some people refer to this as the "Circle of Life."
Qx8f7BJaR6OEPstH_UHyNQ	Chuck Norris once went grocery shopping wearing only a flamethrower.
bwfx9l2BRXeQtmENnoByvQ	Chuck Norris threw his first paper aeroplane age 4... It landed yesterday.
JR7yMl5wSv6fntgFrGSdCQ	The New World Order reports to Chuck Norris.
jPp7zIM4Sq6DNemMlCaC4w	Chuck Norris wants to feel you on the inside.
WOvXQu8oTJKTVUzU9rJs2Q	When Chuck Norris watches Dora the Explora, Dora doesn't ask any questions.
LBpfYFjlSfSfmw4cpJS6IA	Chuck Norris can play slide guitar with a beer bottle. Or, failing that, your face.
msYgqEqhRp6RZSr8upU2GA	Gold is worth its weight in Chuck Norris
a5XTcQaDRaWwerLw_AiCtg	annoying orange is just a example what consequence can Chuck Norris do with roundhouse kick
KRkwVkuGTl6a3KmmAhszBw	Chuck Norris can make pigs fly......and tap dance on clouds
